"Ator_principal","Frequencia","Porcentagem"
"Annabeth Gish",1,0.014792899408284
"Annalise Basso",1,0.014792899408284
"AnnaSophia Robb",2,0.029585798816568
"Anne-Marie Duff",1,0.014792899408284
"Anne Bancroft",2,0.029585798816568
"Anne Hathaway",8,0.118343195266272
"Anne Heche",1,0.014792899408284
"Anne Reid",1,0.014792899408284
"Anne Suzuki",1,0.014792899408284
"Annette Bening",4,0.0591715976331361
"Anni-Kristiina Juuso",1,0.014792899408284
"Annie Neal",1,0.014792899408284
"Ansel Elgort",2,0.029585798816568
"Anson Mount",1,0.014792899408284
"Anthony Albano",1,0.014792899408284
"Anthony Anderson",1,0.014792899408284
"Anthony Barrile",1,0.014792899408284
"Anthony Gonzalez",1,0.014792899408284
"Anthony Hopkins",13,0.192307692307692
"Anthony LaPaglia",1,0.014792899408284
"Anthony Mackie",2,0.029585798816568
"Anthony Michael Hall",2,0.029585798816568
"Anthony Perkins",2,0.029585798816568
"Anthony Rapp",1,0.014792899408284
"Anton Lesser",1,0.014792899408284
"Anton Shagin",1,0.014792899408284
"Anton Yelchin",6,0.0887573964497041
"Antonella Attili",1,0.014792899408284
"Antonio Banderas",19,0.281065088757396
"Antony Acker",1,0.014792899408284
"Anya Taylor-Joy",1,0.014792899408284
"Aomi Muyock",1,0.014792899408284
"April Barnett",1,0.014792899408284
"Ari Gold",1,0.014792899408284
"Ariane Ascaride",1,0.014792899408284
"Aristides de Sousa",1,0.014792899408284
"Armando Espitia",1,0.014792899408284
"Armie Hammer",1,0.014792899408284
"Armin Rohde",1,0.014792899408284
"Arnold Schwarzenegger",26,0.384615384615385
"Arron Shiver",1,0.014792899408284
"Art Parkinson",1,0.014792899408284
"Arthur AcuÃƒÂ±a",1,0.014792899408284
"Artie Lange",1,0.014792899408284
"Asa Butterfield",2,0.029585798816568
"ASAP Rocky",1,0.014792899408284
"Ashley Bell",1,0.014792899408284
"Ashley Bratcher",1,0.014792899408284
"Ashley Greene",1,0.014792899408284
"Ashley Hinshaw",2,0.029585798816568
"Ashley Judd",6,0.0887573964497041
"Ashley Olsen",1,0.014792899408284
"Ashley Tisdale",1,0.014792899408284
"Ashton Kutcher",5,0.0739644970414201
"Asia Argento",2,0.029585798816568
"Askhat Kuchencherekov",1,0.014792899408284
"Aubrey Peeples",1,0.014792899408284
"Aubrey Plaza",3,0.0443786982248521
"Audrey Hepburn",3,0.0443786982248521
"Audrey Tautou",6,0.0887573964497041
"August Diehl",1,0.014792899408284
"Auli'i Cravalho",1,0.014792899408284
"Aunjanue Ellis",1,0.014792899408284
"Avner W. Less",1,0.014792899408284
"Ayesha Dharker",1,0.014792899408284
"Aziz Ansari",1,0.014792899408284
"BÃƒÂ¡rbara Lennie",1,0.014792899408284
"BÃƒÂ©rÃƒÂ©nice Bejo",3,0.0443786982248521
"Bailey Spry",1,0.014792899408284
"Barbara Hershey",3,0.0443786982248521
"Barbara Sarafian",2,0.029585798816568
"Barbra Streisand",4,0.0591715976331361
"Barney Clark",1,0.014792899408284
"Barret Oliver",1,0.014792899408284
"Barry McEvoy",1,0.014792899408284
"Barry Newman",1,0.014792899408284
"Barry Watson",2,0.029585798816568
"Basil Hoffman",1,0.014792899408284
"Batchuluun Urjindorj",1,0.014792899408284
"Batzul Khayankhyarvaa",1,0.014792899408284
"Beau Martin Williams",1,0.014792899408284
"Bel Powley",1,0.014792899408284
"BelÃƒÂ©n Rueda",1,0.014792899408284
"Bella Heathcote",1,0.014792899408284
"Bella Thorne",1,0.014792899408284
"Ben Affleck",17,0.251479289940828
"Ben Barnes",1,0.014792899408284
"Ben Burtt",1,0.014792899408284
"Ben Chaplin",1,0.014792899408284
"Ben Dickey",1,0.014792899408284
"Ben Foster",1,0.014792899408284
"Ben Kingsley",8,0.118343195266272
"Ben Mendelsohn",1,0.014792899408284
"Ben Stiller",17,0.251479289940828
"Ben Weber",1,0.014792899408284
"Ben Whishaw",1,0.014792899408284
"Ben Wilkinson",1,0.014792899408284
"Ben Winchell",1,0.014792899408284
"Benedict Cumberbatch",3,0.0443786982248521
"Bengt Braskered",1,0.014792899408284
"Benicio Del Toro",6,0.0887573964497041
"Benjamin Bratt",3,0.0443786982248521
"Benjamin Dickinson",1,0.014792899408284
"Benjamin Walker",1,0.014792899408284
"BenoÃƒÂ®t Magimel",1,0.014792899408284
"Benshan Zhao",1,0.014792899408284
"Bernard Hill",1,0.014792899408284
"Bernie",1,0.014792899408284
"Bernie Mac",2,0.029585798816568
"Bethany Whitmore",1,0.014792899408284
"Betsy Palmer",1,0.014792899408284
"Bette Davis",1,0.014792899408284
"Bette Midler",3,0.0443786982248521
"Betty Aberlin",1,0.014792899408284
"Bianca Hunter",1,0.014792899408284
"Bill A. Jones",1,0.014792899408284
"Bill Bailey",2,0.029585798816568
"Bill Bernstein",1,0.014792899408284
"Bill Hader",2,0.029585798816568
"Bill Murray",12,0.177514792899408
"Bill Nighy",4,0.0591715976331361
"Bill Paxton",2,0.029585798816568
"Bill Pullman",4,0.0591715976331361
"Billy Barratt",1,0.014792899408284
"Billy Bob Thornton",11,0.162721893491124
"Billy Campbell",1,0.014792899408284
"Billy Crudup",5,0.0739644970414201
"Billy Crystal",5,0.0739644970414201
"Billy Roche",1,0.014792899408284
"BjÃƒÂ¶rk",1,0.014792899408284
"Blake Anderson",1,0.014792899408284
"Blake Gibbons",1,0.014792899408284
"Blake Jenner",1,0.014792899408284
"Blake Lively",4,0.0591715976331361
"Blanca Guerra",1,0.014792899408284
"Blanchard Ryan",1,0.014792899408284
"Blythe Metz",1,0.014792899408284
"Bo Derek",1,0.014792899408284
"Bob Geldof",1,0.014792899408284
"Bob Hoskins",2,0.029585798816568
"Bob Newhart",2,0.029585798816568
"Bobby Boriello",1,0.014792899408284
"Bobby Campo",1,0.014792899408284
"Bobby Driscoll",1,0.014792899408284
"Bonnie Aarons",1,0.014792899408284
"Boonsri Yindee",1,0.014792899408284
"Bora Altas",1,0.014792899408284
"Borce Nacev",1,0.014792899408284
"Boris Kodjoe",2,0.029585798816568
"Boyd Holbrook",1,0.014792899408284
"Brad Davis",1,0.014792899408284
"Brad Dourif",1,0.014792899408284
